ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	23	17	40
c2595355-2593832	19	15	34
c2597106-2595574	12	9	21
c2598562-2597207	81	104	185
c2604454-2602106	24	13	37
c2605922-2604486	12	10	22
c2606381-2605944	1	6	7
c2607314-2606418	10	6	16
c2608249-2607458	6	8	14
c2609546-2608269	31	34	65
c2610356-2609697	7	6	13
c2611458-2610496	2	8	10
c2612430-2611477	3	4	7
c2614109-2612517	11	9	20
c2615274-2614312	2	4	6
c2616246-2615293	2	5	7
c2617928-2616333	20	5	25
c2619247-2618063	10	11	21
c2620369-2619413	7	7	14
c2622143-2620551	13	11	24
c2624124-2622520	10	2	12
c2626110-2624512	6	0	6
c2626386-2626264	0	2	2
c2628158-2626563	16	8	24
c2630269-2628314	19	14	33
c2631106-2630366	8	5	13
c2632432-2631140	13	7	20
c2633881-2632562	22	9	31
c2634683-2633865	8	3	11
c2635627-2634680	15	7	22
c2636747-2635629	14	12	26
