ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	47	72	119
c2595355-2593832	22	22	44
c2597106-2595574	25	28	53
c2598562-2597207	3	6	9
c2604454-2602106	31	79	110
c2605922-2604486	26	46	72
c2606381-2605944	4	0	4
c2607314-2606418	13	48	61
c2608249-2607458	8	53	61
c2609546-2608269	16	107	123
c2610356-2609697	14	17	31
c2611458-2610496	1	0	1
c2612430-2611477	1	1	2
c2614109-2612517	10	25	35
c2615274-2614312	1	0	1
c2616246-2615293	0	3	3
c2617928-2616333	21	48	69
c2619247-2618063	4	53	57
c2620369-2619413	8	29	37
c2622143-2620551	2	87	89
c2624124-2622520	1	11	12
c2626110-2624512	0	25	25
c2626386-2626264	0	1	1
c2628158-2626563	20	43	63
c2630269-2628314	30	82	112
c2631106-2630366	0	0	0
c2632432-2631140	0	0	0
c2633881-2632562	0	0	0
c2634683-2633865	0	0	0
c2635627-2634680	0	0	0
c2636747-2635629	0	0	0
