ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	1279	1988	3267
c2595355-2593832	183	259	442
c2597106-2595574	485	650	1135
c2598562-2597207	5	2	7
c2604454-2602106	695	1700	2395
c2605922-2604486	415	1034	1449
c2606381-2605944	259	148	407
c2607314-2606418	249	417	666
c2608249-2607458	435	380	815
c2609546-2608269	451	642	1093
c2610356-2609697	335	399	734
c2611458-2610496	42	48	90
c2612430-2611477	33	39	72
c2614109-2612517	181	210	391
c2615274-2614312	30	46	76
c2616246-2615293	33	35	68
c2617928-2616333	275	1270	1545
c2619247-2618063	441	797	1238
c2620369-2619413	101	1019	1120
c2622143-2620551	142	1328	1470
c2624124-2622520	242	760	1002
c2626110-2624512	5	43	48
c2626386-2626264	0	8	8
c2628158-2626563	309	681	990
c2630269-2628314	344	1016	1360
c2631106-2630366	85	416	501
c2632432-2631140	90	955	1045
c2633881-2632562	459	772	1231
c2634683-2633865	68	541	609
c2635627-2634680	92	425	517
c2636747-2635629	152	405	557
