ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	452	648	1100
c2595355-2593832	176	76	252
c2597106-2595574	139	158	297
c2598562-2597207	46	24	70
c2604454-2602106	227	612	839
c2605922-2604486	146	234	380
c2606381-2605944	63	37	100
c2607314-2606418	116	173	289
c2608249-2607458	91	192	283
c2609546-2608269	143	133	276
c2610356-2609697	91	84	175
c2611458-2610496	8	13	21
c2612430-2611477	12	15	27
c2614109-2612517	139	165	304
c2615274-2614312	11	17	28
c2616246-2615293	9	14	23
c2617928-2616333	146	284	430
c2619247-2618063	96	243	339
c2620369-2619413	75	268	343
c2622143-2620551	42	607	649
c2624124-2622520	61	59	120
c2626110-2624512	0	16	16
c2626386-2626264	0	0	0
c2628158-2626563	1	16	17
c2630269-2628314	108	720	828
c2631106-2630366	26	241	267
c2632432-2631140	111	379	490
c2633881-2632562	186	300	486
c2634683-2633865	53	181	234
c2635627-2634680	116	199	315
c2636747-2635629	121	222	343
