ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	1047	2316	3363
c2595355-2593832	489	535	1024
c2597106-2595574	326	1056	1382
c2598562-2597207	0	4	4
c2604454-2602106	560	2117	2677
c2605922-2604486	686	602	1288
c2606381-2605944	128	82	210
c2607314-2606418	244	347	591
c2608249-2607458	93	80	173
c2609546-2608269	545	507	1052
c2610356-2609697	239	566	805
c2611458-2610496	30	38	68
c2612430-2611477	20	33	53
c2614109-2612517	0	5	5
c2615274-2614312	14	30	44
c2616246-2615293	25	24	49
c2617928-2616333	406	973	1379
c2619247-2618063	131	1005	1136
c2620369-2619413	153	1044	1197
c2622143-2620551	392	1150	1542
c2624124-2622520	0	1	1
c2626110-2624512	358	143	501
c2626386-2626264	0	3	3
c2628158-2626563	422	650	1072
c2630269-2628314	462	1551	2013
c2631106-2630366	51	910	961
c2632432-2631140	368	735	1103
c2633881-2632562	525	1194	1719
c2634683-2633865	127	731	858
c2635627-2634680	44	710	754
c2636747-2635629	203	951	1154
