chr	start	end	name	gieStain
infantis	510702.0	512225.0	blon_2331	a
infantis	512444.0	513976.0	blon_2332	b
infantis	514293.0	517364.0	blon_2334	c
infantis	517540.0	519888.0	blon_2335	d
infantis	519919.0	521355.0	blon_2336	e
infantis	521377.0	521814.0	blon_2337	f
infantis	521851.0	522747.0	blon_2338	g
infantis	522891.0	523682.0	blon_2339	h
infantis	523702.0	524979.0	blon_2340	i
infantis	525130.0	525789.0	blon_2341	j
infantis	525929.0	526891.0	blon_2342	k
infantis	526910.0	527863.0	blon_2343	l
infantis	525929.0	526891.0	blon_2345	m
infantis	526910.0	527863.0	blon_2346	n
infantis	527950.0	529545.0	blon_2347	o
infantis	529680.0	530864.0	blon_2348	p
infantis	531030.0	531986.0	blon_2349	q
infantis	532168.0	533757.0	blon_2350	r
infantis	534145.0	535746.0	blon_2351	s
infantis	541924.0	543519.0	blon_2354	t
infantis	543673.0	545628.0	blon_2355	u
infantis	545734.0	546474.0	blon_2356	v
infantis	546508.0	547800.0	blon_2357	w
infantis	547935.0	549254.0	blon_2358	x
infantis	549238.0	550056.0	blon_2359	y
infantis	550053.0	551000.0	blon_2360	z
infantis	551002.0	552120.0	blon_2361	ab
