chr	start	end	name	gieStain
infantis	2593649.0	2595172.0	blon_2331	a
infantis	2595391.0	2596923.0	blon_2332	b
infantis	41241.0	42596.0	blon_2333	c
infantis	2598675.0	2601746.0	blon_2334	d
infantis	2601923.0	2604271.0	blon_2335	e
infantis	2604303.0	2605739.0	blon_2336	f
infantis	2605761.0	2606198.0	blon_2337	g
infantis	2606235.0	2607131.0	blon_2338	h
infantis	2607275.0	2608066.0	blon_2339	i
infantis	2608086.0	2609363.0	blon_2340	j
infantis	2609514.0	2610173.0	blon_2341	k
infantis	2610313.0	2611275.0	blon_2342	l
infantis	2611294.0	2612247.0	blon_2343	m
infantis	2610313.0	2611275.0	blon_2345	n
infantis	2611294.0	2612247.0	blon_2346	o
infantis	2612334.0	2613929.0	blon_2347	p
infantis	2614064.0	2615248.0	blon_2348	q
infantis	2615414.0	2616370.0	blon_2349	r
infantis	2616552.0	2618144.0	blon_2350	s
infantis	2618521.0	2620125.0	blon_2351	t
infantis	2620513.0	2622111.0	blon_2352	u
infantis	2622265.0	2622387.0	blon_2353	v
infantis	2622564.0	2624159.0	blon_2354	w
infantis	2624315.0	2626270.0	blon_2355	x
infantis	2626367.0	2627107.0	blon_2356	y
infantis	2627141.0	2628433.0	blon_2357	z
infantis	2628563.0	2629882.0	blon_2358	ab
infantis	2629866.0	2630684.0	blon_2359	ac
infantis	2630681.0	2631628.0	blon_2360	ad
infantis	2631630.0	2632748.0	blon_2361	ae
